Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
1,64,Felix Pena,do DO,Pitcher,*,,30,R,R,"6' 2""",220,25-Feb-90,2009
2,72,Hector Yan,do DO,Pitcher,*,,21,L,L,"5' 11""",180,26-Apr-99,2016
3,54,Jose Suarez,ve VE,Pitcher,*,,22,L,L,"5' 10""",225,3-Jan-98,2015
4,43,Patrick Sandoval,us US,Pitcher,*,,23,L,L,"6' 3""",190,18-Oct-96,2015
5,0,Chris Rodriguez,us US,Pitcher,*,,21,R,R,"6' 2""",185,20-Jul-98,2016
6,57,Hansel Robles,do DO,Pitcher,*,,29,R,R,"6' 0""",220,13-Aug-90,2009
7,62,Gerardo Reyes,mx MX,Pitcher,*,,27,R,R,"5' 11""",195,13-May-93,2014
8,24,Noe Ramirez,us US,Pitcher,*,,30,R,R,"6' 3""",205,22-Dec-89,2011
9,65,Jose Quijada,ve VE,Pitcher,*,,24,L,L,"5' 11""",215,9-Nov-95,2014
10,52,Dillon Peters,us US,Pitcher,*,,27,L,L,"5' 11""",190,31-Aug-92,2012
11,17,Shohei Ohtani,jp JP,Pitcher,*,,25,L,R,"6' 4""",210,5-Jul-94,2013
12,61,Hoby Milner,us US,Pitcher,*,,29,L,L,"6' 3""",175,13-Jan-91,2011
13,99,Keynan Middleton,us US,Pitcher,*,,26,R,R,"6' 3""",215,12-Sep-93,2013
14,60,Mike Mayers,us US,Pitcher,*,,28,R,R,"6' 2""",220,6-Dec-91,2011
15,0,Kyle Keller,us US,Pitcher,*,,27,R,R,"6' 4""",205,28-Apr-93,2012
16,38,Justin Anderson,us US,Pitcher,*,,27,L,R,"6' 3""",230,28-Sep-92,2012
17,35,Matt Andriese,us US,Pitcher,*,,30,R,R,"6' 2""",215,28-Aug-89,2010
18,39,Luke Bard,us US,Pitcher,*,,29,R,R,"6' 3""",200,13-Nov-90,2010
19,0,Jaime Barria,pa PA,Pitcher,*,,23,R,R,"6' 1""",210,18-Jul-96,2013
20,37,Dylan Bundy,us US,Pitcher,*,,27,S,R,"6' 1""",225,15-Nov-92,2012
21,31,Ty Buttrey,us US,Pitcher,*,,27,L,R,"6' 6""",240,31-Mar-93,2012
22,47,Griffin Canning,us US,Pitcher,*,,24,R,R,"6' 2""",180,11-May-96,2015
23,28,Andrew Heaney,us US,Pitcher,*,,29,L,L,"6' 2""",200,5-Jun-91,2011
24,7,Jo Adell,us US,Position,*,,21,R,R,"6' 3""",215,8-Apr-99,2017
25,6,Anthony Rendon,us US,Position,*,,30,R,R,"6' 1""",200,6-Jun-90,2011
26,4,Luis Rengifo,ve VE,Position,*,,23,S,R,"5' 10""",195,26-Feb-97,2014
27,12,Anthony Bemboom,us US,Position,*,,30,L,R,"6' 2""",200,18-Jan-90,2011
28,22,David Fletcher,us US,Position,*,,26,R,R,"5' 9""",185,31-May-94,2014
29,8,Franklin Barreto,ve VE,Position,*,,24,R,R,"5' 10""",208,27-Feb-96,2013
30,5,Albert Pujols,do DO,Position,*,,40,R,R,"6' 3""",235,16-Jan-80,2000
31,33,Max Stassi,us US,Position,*,,29,R,R,"5' 10""",200,15-Mar-91,2009
32,9,Jahmai Jones,us US,Position,*,,22,R,R,"6' 0""",204,4-Aug-97,2015
33,23,Matt Thaiss,us US,Position,*,,25,L,R,"6' 0""",215,6-May-95,2014
34,27,Mike Trout,us US,Position,*,,28,R,R,"6' 2""",235,7-Aug-91,2009
35,10,Justin Upton,us US,Position,*,,32,R,R,"6' 1""",215,25-Aug-87,2006
36,25,Jared Walsh,us US,Position,*,,26,L,L,"6' 0""",210,30-Jul-93,2012
37,3,Taylor Ward,us US,Position,*,,26,R,R,"6' 1""",200,14-Dec-93,2013
38,0,Brandon Marsh,us US,Position,*,,22,L,R,"6' 4""",215,18-Dec-97,2017